date,sentiment,Adj Close,Week_Number,month,year
2018-09-25,2,60.198001861572266,39,9,2018
2018-09-26,2,61.91600036621094,39,9,2018
2018-09-27,0,61.50400161743164,39,9,2018
2018-09-28,0,52.95399856567383,39,9,2018
2018-10-01,-1,62.13999938964844,40,10,2018
2018-10-02,3,60.20399856567383,40,10,2018
2018-10-03,5,58.959999084472656,40,10,2018
2018-10-04,5,56.36600112915039,40,10,2018
2018-10-05,1,52.38999938964844,40,10,2018
2018-10-08,1,50.11199951171875,41,10,2018
2018-10-09,3,52.560001373291016,41,10,2018
2018-10-10,1,51.375999450683594,41,10,2018
2018-10-11,-1,50.44599914550781,41,10,2018
2018-10-12,3,51.75600051879883,41,10,2018
2018-10-15,0,51.917999267578125,42,10,2018
2018-10-16,1,55.31800079345703,42,10,2018
2018-10-17,1,54.35599899291992,42,10,2018
2018-10-18,1,52.78200149536133,42,10,2018
2018-10-19,1,52.0,42,10,2018
2018-10-22,-1,52.189998626708984,43,10,2018
2018-10-23,1,58.827999114990234,43,10,2018
2018-10-24,1,57.70000076293945,43,10,2018
2018-10-25,-1,62.97200012207031,43,10,2018
2018-10-26,1,66.18000030517578,43,10,2018
2018-10-29,1,66.97000122070312,44,10,2018
2018-10-30,-1,65.9800033569336,44,10,2018
2018-10-31,1,67.46399688720703,44,10,2018
2018-11-01,2,68.85600280761719,44,11,2018
2018-11-02,1,69.28199768066406,44,11,2018
2018-11-05,1,68.27999877929688,45,11,2018
2018-11-06,1,68.21199798583984,45,11,2018
2018-11-07,1,69.63200378417969,45,11,2018
2018-11-08,5,70.27999877929688,45,11,2018
2018-11-09,2,70.10199737548828,45,11,2018
2018-11-12,1,66.25599670410156,46,11,2018
2018-11-15,0,69.68800354003906,46,11,2018
2018-11-19,2,70.69400024414062,47,11,2018
2018-11-20,1,69.49800109863281,47,11,2018
2018-11-23,0,65.16600036621094,47,11,2018
2018-11-26,2,69.19999694824219,48,11,2018
2018-11-27,1,68.78399658203125,48,11,2018
2018-11-28,0,69.5739974975586,48,11,2018
2018-11-29,4,68.23400115966797,48,11,2018
2018-11-30,1,70.09600067138672,48,11,2018
2018-12-03,1,71.697998046875,49,12,2018
